Elapsed;Time;User Path;Virtual User ID;Parent;Element;Response time;Success;Population;Zone;CustumValue
134223;2020-09-30T19:37:37.242+02:00;"BrowseForAnimals";0-12;"Try";"Tr001_HomePage";656;yes;"Browsers";"Default zone";""
134285;2020-09-30T19:37:37.304+02:00;"SearchAnimal";0-10;"Try";"Tr004_SelectAnimal";122;yes;"Searchers";"Default zone";"RP-SN-01;200"
134411;2020-09-30T19:37:37.430+02:00;"SearchAnimal";0-2;"Try";"Tr002_EnterStore";274;yes;"Searchers";"Default zone";""
134751;2020-09-30T19:37:37.770+02:00;"SearchAnimal";0-7;"Try";"Tr003_Search";178;yes;"Searchers";"Default zone";"Dog;200"
135138;2020-09-30T19:37:38.157+02:00;"BrowseForAnimals";0-15;"Try";"Tr005_ViewAnimal";367;yes;"Browsers";"Default zone";"EST-18;200"
135238;2020-09-30T19:37:38.257+02:00;"SearchAnimal";0-6;"Try";"Tr006_BackHome";321;yes;"Searchers";"Default zone";""
136606;2020-09-30T19:37:39.625+02:00;"SearchAnimal";0-5;"Try";"Tr006_BackHome";64;yes;"Searchers";"Default zone";""
137200;2020-09-30T19:37:40.219+02:00;"SearchAnimal";0-2;"Try";"Tr003_Search";134;yes;"Searchers";"Default zone";"Bird;200"
138221;2020-09-30T19:37:41.240+02:00;"BrowseForAnimals";0-15;"Try";"Tr006_BackHome";68;yes;"Browsers";"Default zone";""
138726;2020-09-30T19:37:41.745+02:00;"BrowseForAnimals";0-12;"Try";"Tr002_EnterStore";277;yes;"Browsers";"Default zone";""
139677;2020-09-30T19:37:42.696+02:00;"SearchAnimal";0-10;"Try";"Tr005_SeeDetails";268;yes;"Searchers";"Default zone";"EST-12;200"
140676;2020-09-30T19:37:43.695+02:00;"SearchAnimal";0-7;"Try";"Tr004_SelectAnimal";302;yes;"Searchers";"Default zone";"K9-BD-01;200"
140902;2020-09-30T19:37:43.921+02:00;"BrowseForAnimals";0-12;"Try";"Tr003_Browse";76;yes;"Browsers";"Default zone";"Cats;200"
141146;2020-09-30T19:37:44.165+02:00;"SearchAnimal";0-2;"Try";"Tr004_SelectAnimal";125;yes;"Searchers";"Default zone";"AV-CB-01;200"
142776;2020-09-30T19:37:45.795+02:00;"SearchAnimal";0-7;"Try";"Tr005_SeeDetails";62;yes;"Searchers";"Default zone";"EST-6;200"
143192;2020-09-30T19:37:46.211+02:00;"SearchAnimal";0-8;"Try";"Tr001_HomePage";676;yes;"Searchers";"Default zone";""
143902;2020-09-30T19:37:46.921+02:00;"SearchAnimal";0-1;"Try";"Tr001_HomePage";667;yes;"Searchers";"Default zone";""
145113;2020-09-30T19:37:48.132+02:00;"SearchAnimal";0-10;"Try";"Tr006_BackHome";269;yes;"Searchers";"Default zone";""
146496;2020-09-30T19:37:49.515+02:00;"SearchAnimal";0-2;"Try";"Tr005_SeeDetails";261;yes;"Searchers";"Default zone";"EST-18;200"
146653;2020-09-30T19:37:49.672+02:00;"BrowseForAnimals";0-12;"Try";"Tr004_SelectProductID";330;yes;"Browsers";"Default zone";"FL-DLH-02;200"
146710;2020-09-30T19:37:49.729+02:00;"SearchAnimal";0-7;"Try";"Tr006_BackHome";63;yes;"Searchers";"Default zone";""
147115;2020-09-30T19:37:50.134+02:00;"SearchAnimal";0-9;"Try";"Tr001_HomePage";595;yes;"Searchers";"Default zone";""
148776;2020-09-30T19:37:51.795+02:00;"SearchAnimal";0-0;"Try";"Tr001_HomePage";583;yes;"Searchers";"Default zone";""
149444;2020-09-30T19:37:52.463+02:00;"BrowseForAnimals";0-12;"Try";"Tr005_ViewAnimal";132;yes;"Browsers";"Default zone";"EST-17;200"
149648;2020-09-30T19:37:52.667+02:00;"SearchAnimal";0-8;"Try";"Tr002_EnterStore";498;yes;"Searchers";"Default zone";""
150234;2020-09-30T19:37:53.253+02:00;"SearchAnimal";0-2;"Try";"Tr006_BackHome";69;yes;"Searchers";"Default zone";""
150803;2020-09-30T19:37:53.822+02:00;"SearchAnimal";0-9;"Try";"Tr002_EnterStore";248;yes;"Searchers";"Default zone";""
151747;2020-09-30T19:37:54.766+02:00;"SearchAnimal";0-3;"Try";"Tr001_HomePage";2224;yes;"Searchers";"Default zone";""
151772;2020-09-30T19:37:54.791+02:00;"BrowseForAnimals";0-12;"Try";"Tr006_BackHome";64;yes;"Browsers";"Default zone";""
151811;2020-09-30T19:37:54.830+02:00;"SearchAnimal";0-1;"Try";"Tr002_EnterStore";2260;yes;"Searchers";"Default zone";""
152459;2020-09-30T19:37:55.478+02:00;"SearchAnimal";0-0;"Try";"Tr002_EnterStore";322;yes;"Searchers";"Default zone";""
152796;2020-09-30T19:37:55.815+02:00;"BrowseForAnimals";0-16;"Try";"Tr001_HomePage";2236;yes;"Browsers";"Default zone";""
153290;2020-09-30T19:37:56.309+02:00;"SearchAnimal";0-8;"Try";"Tr003_Search";183;yes;"Searchers";"Default zone";"Koi;200"
155065;2020-09-30T19:37:58.084+02:00;"SearchAnimal";0-0;"Try";"Tr003_Search";141;yes;"Searchers";"Default zone";"Goldfish;200"
